Library,Qty,Parts,Description,Value,Package,SORT
GMSN,3,"R6, R11, R12",Resistor,100k,R0805,2
GMSN,2,"R5, R9",Resistor,10k,R0805,2
GMSN,1,R7,Resistor,1M,R0805,2
GMSN,2,"R8, R10",Resistor,1k,R0805,2
GMSN,1,R1,Resistor,1k6,R0805,2
GMSN,1,R4,Resistor,330R,R0805,2
GMSN,6,"C3, C8, C9, C10, C11, C12",Capacitor,100nF,C0805,3
GMSN,2,"C1, C2",Capacitor,22p,C0805,3
GMSN,3,"C4, C5, C7",Electro Capacitor,10u,153CLV-0505,3
GMSN,2,"D1, D2",Diode,STTH102A,SMADIODE,3.9
GMSN,1,IC3,12bit DAC,MCP4921,SOIC8,4
GMSN,1,IC4,32-Pin ATMEGA328,ATMEGA328P,TQFP32-08,4
GMSN,1,T1,Generic NPN BJT,MMBT2222A,SOT23,4
GMSN,1,IC2,Dual Op Amp,OPAMP_DUALD,SO08,4.5
GMSN,1,Q1,Crystal,20MHz,HC49UP,5
GMSN,1,JP1,16 Pin Header 2x8,HEADER2X8,POWER_SHROUDED,7
GMSN,1,ISP1,AVR ISP Header,HEADER2X3-6,AVRISP,7
GMSN,2,"OUTPUT, TRIGATEIN",3.5 mm Jack Socket,SOCKET_MONO_3.5MMPJ301M-12,PJ301M-12,8
GMSN,4,"ATTACK, DECAY, RELEASE, SUSTAIN",Pot,100k,POTENTIOMETER_9MM,8
GMSN,1,MODESW,On-Off-On Switch,ON_OFF_ON,TOGGLE_SW,9
GMSN,1,TRIGGER,Pushbutton LED,PB6149L-5,PB6149L,9
